External Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
6.0000000E+01;9.64E+00;1.78E-15
5.9900000E+01;9.64E+00;1.78E-15
5.9800000E+01;9.64E+00;9.99E-04
5.9700000E+01;9.64E+00;1.11E-03
5.9600000E+01;9.64E+00;1.66E-03
5.9400000E+01;9.64E+00;2.11E-03
5.9300000E+01;9.64E+00;2.45E-03
5.9200000E+01;9.64E+00;2.54E-03
5.9100000E+01;9.64E+00;2.34E-03
5.9000000E+01;9.64E+00;2.08E-03
5.8900000E+01;9.64E+00;1.21E-03
5.8800000E+01;9.64E+00;1.78E-15
5.8700000E+01;9.64E+00;1.78E-15
5.8500000E+01;9.64E+00;1.78E-15
5.8400000E+01;9.64E+00;1.78E-15
5.8300000E+01;9.64E+00;1.78E-15
5.8200000E+01;9.64E+00;1.60E-03
5.8100000E+01;9.64E+00;1.82E-03
5.8000000E+01;9.64E+00;2.15E-03
5.7900000E+01;9.64E+00;2.38E-03
5.7800000E+01;9.64E+00;1.82E-03
5.7700000E+01;9.63E+00;1.38E-03
5.7500000E+01;9.63E+00;5.07E-04
5.7400000E+01;9.63E+00;1.78E-15
5.7300000E+01;9.63E+00;1.78E-15
5.7200000E+01;9.63E+00;1.78E-15
5.7100000E+01;9.63E+00;8.70E-04
5.7000000E+01;9.63E+00;1.72E-03
5.6900000E+01;9.63E+00;2.55E-03
5.6800000E+01;9.63E+00;2.29E-03
5.6600000E+01;9.63E+00;1.46E-03
5.6500000E+01;9.63E+00;8.70E-04
5.6400000E+01;9.63E+00;1.78E-15
5.6300000E+01;9.63E+00;1.78E-15
5.6200000E+01;9.63E+00;1.78E-15
5.6100000E+01;9.63E+00;1.78E-15
5.6000000E+01;9.63E+00;8.70E-04
5.5900000E+01;9.63E+00;7.14E-04
5.5700000E+01;9.63E+00;1.92E-03
5.5600000E+01;9.63E+00;2.54E-03
5.5500000E+01;9.62E+00;8.70E-04
5.5400000E+01;9.62E+00;5.07E-04
5.5300000E+01;9.62E+00;1.38E-03
5.5200000E+01;9.62E+00;2.18E-03
5.5100000E+01;9.62E+00;2.55E-03
5.5000000E+01;9.62E+00;2.04E-03
5.4800000E+01;9.62E+00;3.55E-15
5.4700000E+01;9.62E+00;3.55E-15
5.4600000E+01;9.62E+00;5.07E-04
5.4500000E+01;9.62E+00;2.45E-03
5.4400000E+01;9.62E+00;1.72E-03
5.4300000E+01;9.62E+00;7.14E-04
5.4200000E+01;9.62E+00;1.78E-15
5.4100000E+01;9.62E+00;1.78E-15
5.3900000E+01;9.62E+00;5.07E-04
5.3800000E+01;9.62E+00;2.40E-03
5.3700000E+01;9.62E+00;2.53E-03
5.3600000E+01;9.62E+00;1.72E-03
5.3500000E+01;9.61E+00;8.70E-04
5.3400000E+01;9.61E+00;0.00E+00
5.3300000E+01;9.61E+00;0.00E+00
5.3200000E+01;9.61E+00;1.11E-03
5.3000000E+01;9.61E+00;1.30E-03
5.2900000E+01;9.61E+00;2.50E-03
5.2800000E+01;9.61E+00;5.07E-04
5.2700000E+01;9.61E+00;5.07E-04
5.2600000E+01;9.61E+00;5.07E-04
5.2500000E+01;9.61E+00;2.29E-03
5.2400000E+01;9.61E+00;2.40E-03
5.2300000E+01;9.61E+00;1.87E-03
5.2100000E+01;9.60E+00;5.07E-04
5.2000000E+01;9.60E+00;5.07E-04
5.1900000E+01;9.60E+00;2.40E-03
5.1800000E+01;9.60E+00;2.11E-03
5.1700000E+01;9.60E+00;0.00E+00
5.1600000E+01;9.60E+00;0.00E+00
5.1500000E+01;9.60E+00;2.42E-03
5.1400000E+01;9.60E+00;2.49E-03
5.1200000E+01;9.59E+00;1.38E-03
5.1100000E+01;9.59E+00;8.70E-04
5.1000000E+01;9.59E+00;1.77E-03
5.0900000E+01;9.59E+00;1.78E-15
5.0800000E+01;9.59E+00;2.21E-03
5.0700000E+01;9.59E+00;2.55E-03
5.0600000E+01;9.59E+00;2.34E-03
5.0500000E+01;9.59E+00;2.11E-03
5.0300000E+01;9.58E+00;2.18E-03
