External Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
5.0200000E+01;9.58E+00;1.38E-03
5.0100000E+01;9.58E+00;3.55E-15
5.0000000E+01;9.58E+00;2.46E-03
4.9900000E+01;9.57E+00;5.07E-04
4.9800000E+01;9.57E+00;1.21E-03
4.9700000E+01;9.57E+00;1.82E-03
4.9600000E+01;9.57E+00;3.55E-15
4.9400000E+01;9.57E+00;2.51E-03
4.9300000E+01;9.56E+00;7.14E-04
4.9200000E+01;9.56E+00;2.52E-03
4.9100000E+01;9.56E+00;1.78E-15
4.9000000E+01;9.56E+00;2.38E-03
4.8900000E+01;9.55E+00;9.99E-04
4.8800000E+01;9.55E+00;7.14E-04
4.8700000E+01;9.55E+00;7.14E-04
4.8600000E+01;9.55E+00;2.49E-03
4.8400000E+01;9.54E+00;5.07E-04
4.8300000E+01;9.54E+00;1.53E-03
4.8200000E+01;9.54E+00;1.78E-15
4.8100000E+01;9.54E+00;8.70E-04
4.8000000E+01;9.54E+00;1.78E-15
4.7900000E+01;9.54E+00;2.46E-03
4.7800000E+01;9.53E+00;1.77E-03
4.7700000E+01;9.53E+00;0.00E+00
4.7500000E+01;9.52E+00;1.46E-03
4.7400000E+01;9.52E+00;1.46E-03
4.7300000E+01;9.52E+00;2.36E-03
4.7200000E+01;9.51E+00;2.55E-03
4.7100000E+01;9.50E+00;1.77E-03
4.7000000E+01;9.50E+00;5.07E-04
4.6900000E+01;9.49E+00;1.66E-03
4.6800000E+01;9.48E+00;5.07E-04
4.6600000E+01;9.48E+00;5.07E-04
4.6500000E+01;9.47E+00;2.04E-03
4.6400000E+01;9.46E+00;1.87E-03
4.6300000E+01;9.45E+00;1.11E-03
4.6200000E+01;9.44E+00;7.14E-04
4.6100000E+01;9.43E+00;3.55E-15
4.6000000E+01;9.42E+00;2.55E-03
4.5900000E+01;9.41E+00;8.70E-04
4.5700000E+01;9.39E+00;1.92E-03
4.5600000E+01;9.37E+00;0.00E+00
4.5500000E+01;9.36E+00;2.15E-03
4.5400000E+01;9.34E+00;1.53E-03
4.5300000E+01;9.32E+00;2.00E-03
4.5200000E+01;9.29E+00;1.38E-03
4.5100000E+01;9.26E+00;1.72E-03
4.5000000E+01;9.23E+00;5.07E-04
4.4800000E+01;9.19E+00;1.60E-03
4.4700000E+01;9.14E+00;2.26E-03
4.4600000E+01;9.09E+00;2.42E-03
4.4500000E+01;9.03E+00;2.42E-03
4.4400000E+01;8.97E+00;1.84E-03
4.4300000E+01;8.92E+00;2.07E-03
4.4200000E+01;8.87E+00;2.58E-03
4.4100000E+01;8.85E+00;2.29E-03
4.3900000E+01;8.86E+00;2.27E-03
4.3800000E+01;8.89E+00;2.34E-03
4.3700000E+01;8.96E+00;2.64E-03
4.3600000E+01;9.03E+00;2.65E-03
4.3500000E+01;9.12E+00;2.12E-03
4.3400000E+01;9.20E+00;2.55E-03
4.3300000E+01;9.27E+00;1.72E-03
4.3200000E+01;9.33E+00;1.72E-03
4.3000000E+01;9.38E+00;2.38E-03
4.2900000E+01;9.44E+00;1.78E-15
4.2800000E+01;9.48E+00;2.18E-03
4.2700000E+01;9.51E+00;8.70E-04
4.2600000E+01;9.53E+00;1.78E-15
4.2500000E+01;9.55E+00;1.77E-03
4.2400000E+01;9.57E+00;1.78E-15
4.2300000E+01;9.59E+00;7.14E-04
4.2100000E+01;9.60E+00;1.60E-03
4.2000000E+01;9.61E+00;7.14E-04
4.1900000E+01;9.62E+00;3.55E-15
4.1800000E+01;9.63E+00;1.66E-03
4.1700000E+01;9.64E+00;1.78E-15
4.1600000E+01;9.64E+00;1.78E-15
4.1500000E+01;9.65E+00;1.30E-03
4.1400000E+01;9.65E+00;5.07E-04
4.1200000E+01;9.66E+00;1.38E-03
4.1100000E+01;9.66E+00;1.46E-03
4.1000000E+01;9.66E+00;5.07E-04
4.0900000E+01;9.67E+00;2.46E-03
4.0800000E+01;9.67E+00;0.00E+00
4.0700000E+01;9.67E+00;1.30E-03
4.0600000E+01;9.67E+00;2.24E-03
4.0500000E+01;9.68E+00;7.14E-04
4.0300000E+01;9.68E+00;0.00E+00
4.0200000E+01;9.68E+00;8.70E-04
4.0100000E+01;9.68E+00;9.99E-04
4.0000000E+01;9.68E+00;1.38E-03
3.9900000E+01;9.68E+00;7.14E-04
3.9800000E+01;9.68E+00;5.07E-04
3.9700000E+01;9.68E+00;0.00E+00
3.9600000E+01;9.67E+00;7.14E-04
3.9400000E+01;9.67E+00;0.00E+00
3.9300000E+01;9.66E+00;8.70E-04
3.9200000E+01;9.66E+00;7.14E-04
3.9100000E+01;9.66E+00;3.55E-15
3.9000000E+01;9.66E+00;2.43E-03
3.8900000E+01;9.65E+00;5.07E-04
3.8800000E+01;9.65E+00;0.00E+00
3.8700000E+01;9.65E+00;1.87E-03
3.8600000E+01;9.65E+00;2.40E-03
3.8400000E+01;9.65E+00;7.14E-04
3.8300000E+01;9.65E+00;0.00E+00
3.8200000E+01;9.65E+00;1.11E-03
3.8100000E+01;9.65E+00;1.77E-03
3.8000000E+01;9.65E+00;2.48E-03
3.7900000E+01;9.64E+00;5.07E-04
3.7800000E+01;9.64E+00;5.07E-04
3.7700000E+01;9.64E+00;1.78E-15
3.7500000E+01;9.64E+00;5.07E-04
3.7400000E+01;9.64E+00;1.82E-03
3.7300000E+01;9.64E+00;2.29E-03
3.7200000E+01;9.64E+00;2.48E-03
3.7100000E+01;9.64E+00;2.50E-03
3.7000000E+01;9.64E+00;2.55E-03
3.6900000E+01;9.64E+00;2.55E-03
3.6800000E+01;9.64E+00;2.34E-03
3.6600000E+01;9.64E+00;2.42E-03
3.6500000E+01;9.64E+00;1.60E-03
3.6400000E+01;9.64E+00;9.99E-04
3.6300000E+01;9.64E+00;0.00E+00
3.6200000E+01;9.64E+00;0.00E+00
3.6100000E+01;9.64E+00;0.00E+00
3.6000000E+01;9.64E+00;0.00E+00
3.5900000E+01;9.64E+00;0.00E+00
3.5700000E+01;9.64E+00;0.00E+00
3.5600000E+01;9.64E+00;0.00E+00
3.5500000E+01;9.64E+00;0.00E+00
3.5400000E+01;9.64E+00;0.00E+00
3.5300000E+01;9.64E+00;0.00E+00
3.5200000E+01;9.64E+00;0.00E+00
3.5100000E+01;9.64E+00;0.00E+00
3.5000000E+01;9.64E+00;0.00E+00
3.4800000E+01;9.64E+00;0.00E+00
3.4700000E+01;9.64E+00;0.00E+00
3.4600000E+01;9.64E+00;7.14E-04
3.4500000E+01;9.63E+00;7.14E-04
3.4400000E+01;9.64E+00;7.14E-04
3.4300000E+01;9.63E+00;0.00E+00
3.4200000E+01;9.64E+00;5.07E-04
3.4100000E+01;9.63E+00;9.99E-04
3.3900000E+01;9.63E+00;1.30E-03
3.3800000E+01;9.64E+00;1.60E-03
3.3700000E+01;9.63E+00;1.11E-03
3.3600000E+01;9.63E+00;1.11E-03
3.3500000E+01;9.63E+00;7.14E-04
3.3400000E+01;9.63E+00;1.21E-03
3.3300000E+01;9.63E+00;9.99E-04
3.3200000E+01;9.64E+00;1.21E-03
3.3000000E+01;9.63E+00;7.14E-04
3.2900000E+01;9.64E+00;0.00E+00
3.2800000E+01;9.63E+00;0.00E+00
3.2700000E+01;9.64E+00;5.07E-04
3.2600000E+01;9.64E+00;0.00E+00
3.2500000E+01;9.63E+00;0.00E+00
3.2400000E+01;9.63E+00;0.00E+00
3.2300000E+01;9.64E+00;7.14E-04
3.2100000E+01;9.64E+00;7.14E-04
3.2000000E+01;9.64E+00;7.14E-04
3.1900000E+01;9.63E+00;5.07E-04
3.1800000E+01;9.64E+00;0.00E+00
3.1700000E+01;9.64E+00;0.00E+00
3.1600000E+01;9.64E+00;0.00E+00
3.1500000E+01;9.63E+00;0.00E+00
3.1400000E+01;9.64E+00;0.00E+00
3.1200000E+01;9.64E+00;1.21E-03
3.1100000E+01;9.64E+00;8.70E-04
3.1000000E+01;9.63E+00;7.14E-04
3.0900000E+01;9.63E+00;5.07E-04
3.0800000E+01;9.64E+00;8.70E-04
3.0700000E+01;9.64E+00;0.00E+00
3.0600000E+01;9.64E+00;5.07E-04
3.0500000E+01;9.64E+00;0.00E+00
3.0300000E+01;9.64E+00;0.00E+00
3.0200000E+01;9.64E+00;0.00E+00
3.0100000E+01;9.64E+00;0.00E+00
