Incident Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
5.69E+01;9.58E+00;8.70E-04
5.70E+01;9.58E+00;2.54E-03
5.71E+01;9.58E+00;2.40E-03
5.72E+01;9.58E+00;8.70E-04
5.73E+01;9.58E+00;5.07E-04
5.74E+01;9.58E+00;7.14E-04
5.75E+01;9.59E+00;2.29E-03
5.76E+01;9.59E+00;2.46E-03
5.78E+01;9.59E+00;1.72E-03
5.79E+01;9.59E+00;1.60E-03
5.80E+01;9.59E+00;1.87E-03
5.81E+01;9.59E+00;9.99E-04
5.82E+01;9.59E+00;8.70E-04
5.83E+01;9.59E+00;1.78E-15
5.84E+01;9.59E+00;1.78E-15
5.85E+01;9.59E+00;5.07E-04
5.87E+01;9.59E+00;7.14E-04
5.88E+01;9.59E+00;1.21E-03
5.89E+01;9.59E+00;1.21E-03
5.90E+01;9.59E+00;2.31E-03
5.91E+01;9.59E+00;2.53E-03
5.92E+01;9.59E+00;2.42E-03
5.93E+01;9.59E+00;2.11E-03
5.94E+01;9.59E+00;5.07E-04
5.95E+01;9.59E+00;1.78E-15
5.97E+01;9.59E+00;5.07E-04
5.98E+01;9.59E+00;1.38E-03
5.99E+01;9.59E+00;1.21E-03
6.00E+01;9.60E+00;2.49E-03
6.01E+01;9.60E+00;2.54E-03
6.02E+01;9.60E+00;2.29E-03
6.03E+01;9.60E+00;5.07E-04
6.04E+01;9.60E+00;0.00E+00
6.06E+01;9.60E+00;0.00E+00
6.07E+01;9.60E+00;0.00E+00
6.08E+01;9.60E+00;5.07E-04
6.09E+01;9.60E+00;2.11E-03
6.10E+01;9.60E+00;2.43E-03
6.11E+01;9.60E+00;1.21E-03
6.12E+01;9.60E+00;1.78E-15
6.13E+01;9.60E+00;8.70E-04
6.15E+01;9.60E+00;1.11E-03
6.16E+01;9.61E+00;2.24E-03
6.17E+01;9.61E+00;2.29E-03
6.18E+01;9.61E+00;2.31E-03
6.19E+01;9.60E+00;2.26E-03
6.20E+01;9.61E+00;2.40E-03
6.21E+01;9.61E+00;2.51E-03
6.22E+01;9.61E+00;2.55E-03
6.24E+01;9.61E+00;2.38E-03
6.25E+01;9.61E+00;2.43E-03
6.26E+01;9.61E+00;2.18E-03
6.27E+01;9.61E+00;2.29E-03
6.28E+01;9.61E+00;2.48E-03
6.29E+01;9.61E+00;2.45E-03
6.30E+01;9.61E+00;1.66E-03
6.31E+01;9.61E+00;3.55E-15
6.33E+01;9.61E+00;5.07E-04
6.34E+01;9.61E+00;2.08E-03
6.35E+01;9.61E+00;2.08E-03
6.36E+01;9.61E+00;2.46E-03
6.37E+01;9.61E+00;1.96E-03
6.38E+01;9.61E+00;0.00E+00
6.39E+01;9.61E+00;0.00E+00
6.40E+01;9.61E+00;5.07E-04
6.42E+01;9.61E+00;0.00E+00
6.43E+01;9.61E+00;5.07E-04
6.44E+01;9.62E+00;1.87E-03
6.45E+01;9.62E+00;1.77E-03
6.46E+01;9.62E+00;2.11E-03
6.47E+01;9.62E+00;2.40E-03
6.48E+01;9.62E+00;2.08E-03
6.49E+01;9.62E+00;1.53E-03
6.51E+01;9.62E+00;8.70E-04
6.52E+01;9.62E+00;1.78E-15
6.53E+01;9.62E+00;1.78E-15
6.54E+01;9.62E+00;1.78E-15
6.55E+01;9.62E+00;1.78E-15
6.56E+01;9.62E+00;1.78E-15
6.57E+01;9.62E+00;5.07E-04
6.58E+01;9.62E+00;2.55E-03
6.60E+01;9.62E+00;2.11E-03
6.61E+01;9.62E+00;1.46E-03
6.62E+01;9.62E+00;1.30E-03
6.63E+01;9.62E+00;5.07E-04
6.64E+01;9.62E+00;1.21E-03
6.65E+01;9.63E+00;1.66E-03
6.66E+01;9.63E+00;2.36E-03
6.67E+01;9.63E+00;1.92E-03
6.69E+01;9.63E+00;1.46E-03
6.70E+01;9.63E+00;5.07E-04
6.71E+01;9.63E+00;1.78E-15
6.72E+01;9.63E+00;1.78E-15
6.73E+01;9.63E+00;1.78E-15
6.74E+01;9.63E+00;9.99E-04
6.75E+01;9.63E+00;1.11E-03
6.76E+01;9.63E+00;1.60E-03
6.78E+01;9.63E+00;2.26E-03
6.79E+01;9.63E+00;2.55E-03
6.80E+01;9.63E+00;2.15E-03
6.81E+01;9.63E+00;1.77E-03
6.82E+01;9.63E+00;1.53E-03
6.83E+01;9.63E+00;5.07E-04
6.84E+01;9.63E+00;1.78E-15
6.85E+01;9.63E+00;7.14E-04
6.86E+01;9.63E+00;1.38E-03
6.88E+01;9.64E+00;2.50E-03
6.89E+01;9.64E+00;2.53E-03
6.90E+01;9.64E+00;1.53E-03
6.91E+01;9.64E+00;1.11E-03
6.92E+01;9.64E+00;5.07E-04
6.93E+01;9.64E+00;5.07E-04
6.94E+01;9.64E+00;1.78E-15
6.95E+01;9.64E+00;1.78E-15
6.97E+01;9.64E+00;5.07E-04
6.98E+01;9.64E+00;1.46E-03
6.99E+01;9.64E+00;2.46E-03
