Incident Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
5.69E+01;2.49E+00;3.88E-03
5.70E+01;2.39E+00;3.73E-03
5.71E+01;2.30E+00;4.19E-03
5.72E+01;2.28E+00;4.15E-03
5.73E+01;2.34E+00;4.29E-03
5.74E+01;2.36E+00;4.00E-03
5.75E+01;2.44E+00;3.70E-03
5.76E+01;2.54E+00;3.15E-03
5.78E+01;2.63E+00;3.27E-03
5.79E+01;2.75E+00;3.81E-03
5.80E+01;2.87E+00;4.50E-03
5.81E+01;2.91E+00;3.64E-03
5.82E+01;3.02E+00;3.91E-03
5.83E+01;3.14E+00;3.66E-03
5.84E+01;3.21E+00;3.71E-03
5.85E+01;3.42E+00;4.30E-03
5.87E+01;3.66E+00;3.03E-03
5.88E+01;3.88E+00;2.81E-03
5.89E+01;4.18E+00;4.48E-03
5.90E+01;4.32E+00;3.70E-03
5.91E+01;4.70E+00;3.58E-03
5.92E+01;4.86E+00;3.31E-03
5.93E+01;4.85E+00;3.82E-03
5.94E+01;5.32E+00;4.42E-03
5.95E+01;5.23E+00;5.68E-03
5.97E+01;5.55E+00;4.26E-03
5.98E+01;5.85E+00;3.51E-03
5.99E+01;5.95E+00;4.61E-03
6.00E+01;5.80E+00;3.19E-03
6.01E+01;6.25E+00;3.66E-03
6.02E+01;6.23E+00;3.03E-03
6.03E+01;6.28E+00;2.96E-03
6.04E+01;6.45E+00;3.93E-03
6.06E+01;6.52E+00;4.99E-03
6.07E+01;6.56E+00;3.22E-03
6.08E+01;6.92E+00;3.77E-03
6.09E+01;6.79E+00;3.74E-03
6.10E+01;6.80E+00;3.63E-03
6.11E+01;6.83E+00;3.27E-03
6.12E+01;6.92E+00;3.77E-03
6.13E+01;7.26E+00;3.71E-03
6.15E+01;7.36E+00;4.12E-03
6.16E+01;7.48E+00;3.23E-03
6.17E+01;7.47E+00;3.49E-03
6.18E+01;7.42E+00;3.89E-03
6.19E+01;7.65E+00;3.75E-03
6.20E+01;7.70E+00;3.77E-03
6.21E+01;7.62E+00;3.35E-03
6.22E+01;7.61E+00;3.42E-03
6.24E+01;7.67E+00;3.94E-03
6.25E+01;7.85E+00;3.08E-03
6.26E+01;7.97E+00;3.33E-03
6.27E+01;7.88E+00;3.21E-03
6.28E+01;7.94E+00;3.34E-03
6.29E+01;7.98E+00;3.18E-03
6.30E+01;8.08E+00;2.61E-03
6.31E+01;8.23E+00;3.06E-03
6.33E+01;8.27E+00;2.31E-03
6.34E+01;8.30E+00;3.21E-03
6.35E+01;8.35E+00;2.98E-03
6.36E+01;8.38E+00;2.16E-03
6.37E+01;8.41E+00;2.47E-03
6.38E+01;8.45E+00;2.28E-03
6.39E+01;8.38E+00;2.39E-03
6.40E+01;8.42E+00;2.04E-03
6.42E+01;8.50E+00;2.63E-03
6.43E+01;8.54E+00;3.66E-03
6.44E+01;8.49E+00;2.91E-03
6.45E+01;8.62E+00;2.73E-03
6.46E+01;8.59E+00;2.94E-03
6.47E+01;8.51E+00;9.49E-03
6.48E+01;8.64E+00;2.52E-03
6.49E+01;8.54E+00;2.84E-03
6.51E+01;8.64E+00;2.82E-03
6.52E+01;8.70E+00;2.10E-03
6.53E+01;8.69E+00;2.45E-03
6.54E+01;8.73E+00;2.80E-03
6.55E+01;8.78E+00;1.82E-03
6.56E+01;8.80E+00;2.21E-03
6.57E+01;8.80E+00;3.13E-03
6.58E+01;8.83E+00;1.91E-03
6.60E+01;8.78E+00;2.29E-03
6.61E+01;8.77E+00;2.52E-03
6.62E+01;8.89E+00;2.39E-03
6.63E+01;8.86E+00;2.24E-03
6.64E+01;8.86E+00;2.20E-03
6.65E+01;8.96E+00;2.45E-03
6.66E+01;8.92E+00;1.96E-03
6.67E+01;8.94E+00;2.50E-03
6.69E+01;8.96E+00;2.51E-03
6.70E+01;9.02E+00;2.34E-03
6.71E+01;8.97E+00;2.04E-03
6.72E+01;8.97E+00;1.75E-03
6.73E+01;8.98E+00;1.75E-03
6.74E+01;9.01E+00;2.67E-03
6.75E+01;9.07E+00;1.23E-03
6.76E+01;9.09E+00;2.29E-03
6.78E+01;9.10E+00;2.51E-03
6.79E+01;9.06E+00;2.21E-03
6.80E+01;9.08E+00;2.04E-03
6.81E+01;9.08E+00;2.29E-03
6.82E+01;9.10E+00;1.38E-03
6.83E+01;9.13E+00;2.48E-03
